Date,ISPO
"Jan 03, 2024",0.6100
"Jan 02, 2024",0.6280
"Dec 29, 2023",0.5910
"Dec 28, 2023",0.6000
"Dec 27, 2023",0.6290
"Dec 26, 2023",0.6300
"Dec 22, 2023",0.6300
"Dec 21, 2023",0.6780
"Dec 20, 2023",0.6730
"Dec 19, 2023",0.6830
"Dec 18, 2023",0.5500
"Dec 15, 2023",0.5800
"Dec 14, 2023",0.5770
"Dec 13, 2023",0.5800
"Dec 12, 2023",0.5500
"Dec 11, 2023",0.5770
"Dec 08, 2023",0.5210
"Dec 07, 2023",0.5800
"Dec 06, 2023",0.5800
"Dec 05, 2023",0.5510
"Dec 04, 2023",0.5740
"Dec 01, 2023",0.5550
"Nov 30, 2023",0.5600
"Nov 29, 2023",0.5210
"Nov 28, 2023",0.5490
"Nov 27, 2023",0.5200
"Nov 24, 2023",0.5200
"Nov 22, 2023",0.4860
"Nov 21, 2023",0.4920
"Nov 20, 2023",0.4910
"Nov 17, 2023",0.4900
"Nov 16, 2023",0.4930
"Nov 15, 2023",0.4950
"Nov 14, 2023",0.4800
"Nov 13, 2023",0.5000
"Nov 10, 2023",0.5100
"Nov 09, 2023",0.5320
"Nov 08, 2023",0.5000
"Nov 07, 2023",0.5000
"Nov 06, 2023",0.6080
"Nov 03, 2023",0.6500
"Nov 02, 2023",0.6000
"Nov 01, 2023",0.5960
"Oct 31, 2023",0.5650
"Oct 30, 2023",0.5800
"Oct 27, 2023",0.4690
"Oct 26, 2023",0.4640
"Oct 25, 2023",0.5030
"Oct 24, 2023",0.4730
"Oct 23, 2023",0.4700
"Oct 20, 2023",0.5220
"Oct 19, 2023",0.5500
"Oct 18, 2023",0.5870
"Oct 17, 2023",0.6450
"Oct 16, 2023",0.6770
"Oct 13, 2023",0.7310
"Oct 12, 2023",0.7900
"Oct 11, 2023",0.7500
"Oct 10, 2023",0.7500
"Oct 09, 2023",0.7210
"Oct 06, 2023",0.7500
"Oct 05, 2023",0.7000
"Oct 04, 2023",0.7400
"Oct 03, 2023",0.7540
"Oct 02, 2023",0.7780
"Sep 29, 2023",0.7960
"Sep 28, 2023",0.7400
"Sep 27, 2023",0.7520
"Sep 26, 2023",0.8110
"Sep 25, 2023",0.8300
"Sep 22, 2023",0.8000
"Sep 21, 2023",0.8000
"Sep 20, 2023",0.8010
"Sep 19, 2023",0.7900
"Sep 18, 2023",0.7900
"Sep 15, 2023",0.8290
"Sep 14, 2023",0.8200
"Sep 13, 2023",0.8010
"Sep 12, 2023",0.8500
"Sep 11, 2023",0.8900
"Sep 08, 2023",0.8900
"Sep 07, 2023",0.8990
"Sep 06, 2023",0.8270
"Sep 05, 2023",0.8500
"Sep 01, 2023",0.8240
"Aug 31, 2023",0.8610
"Aug 30, 2023",0.9000
"Aug 29, 2023",0.9200
"Aug 28, 2023",0.9100
"Aug 25, 2023",0.8790
"Aug 24, 2023",0.8100
"Aug 23, 2023",0.8200
"Aug 22, 2023",0.8200
"Aug 21, 2023",0.8360
"Aug 18, 2023",0.8430
"Aug 17, 2023",0.8590
"Aug 16, 2023",0.8500
"Aug 15, 2023",0.8700
"Aug 14, 2023",0.9000
"Jan 04, 2024",1.0901
"Jan 03, 2024",1.0400
"Jan 02, 2024",0.9700
"Dec 29, 2023",1.1600
"Dec 28, 2023",1.1400
"Dec 27, 2023",1.0500
"Dec 26, 2023",0.8400
"Dec 22, 2023",0.8100
"Dec 21, 2023",0.8100
"Dec 20, 2023",0.8300
"Dec 19, 2023",0.8500
